,Name,Latitude,Longitude,rating,address,photoreference
50,Apotek Sinar,-0.8969580999999999,100.3638761,4.1,"Jl. Raya Nanggalo No.28, Kp. Olo, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173, Indonesia",ATtYBwJD0fO6ucnCmsxbfNoETUdL4XI7lLHoYAo2n7Oc4V-_v5Hr7wIP05X3GMUEQr3GiFSfTb3HyA7yAuuGKXDPe-Nd3wo7unKz85DgWdXEbXHJgiQFz6ZGLBwgpbJkb6unNSU95I7b01_Vqe-IfuaORdF13SF5Z0mzRfTwJ6bMeEXQA3Fv
51,Mustaqim Jaya Apotik,-0.9505150000000001,100.3698582,5.0,"Jl. Ksatria No.6a, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",ATtYBwJQaQpfhXl4A61bcKaWJ2_QXSm7DJ25EowJPuAhxCGlPZI-Xi-4BJSrthdKfuO1VJno4bFpKU6DKjCfKmo35mCIkJzHYioWeFTKk1n5GrKjk0VqKkCKjYmlJSG4l3MEY7Pc_t3Y1fU-DN0Mxyv0wHR_HgcVuULaa46joe_evvT-LyDX
52,Apotik Nia,-0.9519483,100.3686916,4.0,"Ganting Parak Gadang, Padang Timur, Padang City, West Sumatra 25132, Indonesia",ATtYBwI2OZAU-CThPjm0eP_lMgoK-_rghkdRcOgrUBw9zyVQp44dyhlKb38ABqpfOEJc0xDNyOBnu6s9Q4oimnjrKGEiVkiuALZUzc3G3_icYuKT1MBkMjMieNgNZSAP_GIx-PyGrktspC9WpqiusbQb4jv3Lno4sZhzyXebI_UsS5ni881R
53,Apotik Bayu,-0.9524691999999999,100.3612614,5.0,"Jl. Imam Bonjol, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat, Indonesia",ATtYBwJgswz6hp9OtO00Cb_UdlPkSgdx0GJ13DfvVTzCtUpzo1_xY4ZyswNGm9NoRZKGjbTcZfYMJWPmsdlbj8t3FSM3oZTrG0zFOhcJsj_NAcnXwo32EtWbx1Bx6sXZCDXRKZCabI5g4vHWzKdbP--wfSb8R4txgsppSswNXwQEOKjycQid
54,Apotek Bersama,-0.9392159999999998,100.3662666,0.0,"Jl. Perintis Kemerdekaan, Jati Baru, Kec. Padang Tim., Kota Padang, Sumatera Barat 25129, Indonesia",NULL
55,Apotik Zal,-0.942116,100.379676,1.0,"Jl. Andalas No.26, Andalas, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",NULL
56,Apotik Ihsan,-0.9509717999999998,100.3686831,0.0,"Ganting Parak Gadang, Padang Timur, Padang City, West Sumatra 25133, Indonesia",ATtYBwKPZ7-6KjmpqBprsHgeTq8728KCgGl5eUcXWst-1reLAcBJruA39dSXDAOKQygfvIUyOdjMIvOPLRGk4TNaKnaOpvGLQcrJzQ8WdMlF-B7l2PbsMarGAW0R1VyjLHMJ01EkIJrKM1imQA8r2jFCBiOYOHbbp4qr0zb6WqtGWiq927sn
57,Apotik Mata Air,-0.9515669999999999,100.3709629,0.0,"Jl. Ksatria No.2, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25132, Indonesia",NULL
58,Apotik Syahra Farma,-0.9284863999999999,100.3629148,0.0,"Jl. Kali Mas No.18, Alai Parak Kopi, Kec. Padang Utara, Kota Padang, Sumatera Barat, Indonesia",NULL
59,Apotik Diana,-0.8925726,100.3520263,4.5,"Jl. Prof. Dr. Hamka No.121, Air Tawar Bar., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
