,Name,Latitude,Longitude,rating,address,photoreference
23,PHC Lubuk Buaya,-0.8276232,100.3277843,4.7,"Jl. Adinegoro No.20, Lubuk Buaya, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",ATtYBwIsKRFBy637HI8xx3Es8-07f6WCFPA8Hh7GNPodhN0lZR2F_U3imdnXV3etTMfnmt230zbzxcB6TeOOAeiYuILbYn9FBRpz059k8enuQ0UdnP251b3MvSoiKgvzuuZMQPsZvdYb1cNtvhXIJzREFozEXxCPcPvgWUPk8W598sCDcsM
24,Puskesmas Pembantu,-0.9485366,100.3919947,0.0,"Kubu Dalam Parak Karakah, Padang Timur, Padang City, West Sumatra 25126, Indonesia",ATtYBwIjJ9X9g8HN7jvlD5pr--Bs0JMYbrfEQf1WVhrirUFRQTACBuaNMefJQhyxs2Cq5OyRzcIWfKL2IJzOHrI7kiP5kiAlR1frzOBsNjKDYJaZdeFOAVdlPmJJ3jQUlFPorOJVcB2g6QqPY52GcZlvZIq6qN9B0rZo9_pc7eafYsGnFd52
25,Puskesmas Ikur Koto,-0.8467731,100.3631534,4.3,"Jl. Raya Cengkeh, Koto Panjang Ikua Koto, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",ATtYBwIARUpuUZlMECo9hxjzHnSbPNmDzzJHWknE3K05Z4K82Tmsbcb_-dGlIkTD_u1kOb3lsnAJ83I6qM7HEbdLuHrgOdEb_QQNIiyhn8q-MzNvfPvjwd7XnsS9Mmfa7Pl0YalpSOXdLZrat8xMyiuaRhyFtguK_1sN5ZOgu3Z_bysU0wqS
26,Puskesmas pembantu banda gadang,-0.9166444,100.3770452,5.0,"Tabing Banda Gadang, Nanggalo, Padang City, West Sumatra 25172, Indonesia",ATtYBwK3DxDWsZbCnf5H4LFi0qARElRNS9C1MHXAI3tzXkk8-LjH9Hp3T3Z2acnBn5FdkcLbST3y73WPgYUAtRSmI7SX3bqPhERWsWJRl21selZA07I5BNtvylDgVJY9n6u3pBCAzB4hWIuWQRxWkEpFVqmtAOCqS3rUU0qdTIavFV0yI3Ka
27,puskesmas pembantu (pustu).,-0.7996143,100.2944825,4.0,"Katapiang, Batang Anai, Padang Pariaman Regency, West Sumatra 25586, Indonesia",NULL
28,Puskesmas Pembantu Taruko,-0.9125722,100.4036035,0.0,"komplek taruko No.1, Korong Gadang, Kec. Kuranji, Kota Padang, Sumatera Barat 25171, Indonesia",ATtYBwITuhaDzku-4QE-qP_Fl6hb9BY6X5TrQ0LEZfuCqJiaVhY9s8VQPVhLN8WpWb9soX_PydfuPR9fURIXf5mG-bQG-8RS3SmEqlmw4Zc7DfQtpsR6b0MhIONR77tOn6xKo3oOyrsVqZYqtPhSueeYpF4Ty4llFGYUmOQ-VmodroF_LXrO
29,Puskesmas dadok jalan kesehatan,-0.8724065999999999,100.3615556,0.0,"Jl. Kesehatan, Bungo Pasang, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",ATtYBwK0wjWl9bCdTIE5y93_BEvSTuxiMLuBhuZnc5SnWE1U1WySAk7eQJK6hVZArzRW-7MCJEhDFj4GTruQIqK6iUSyiWdydtFEizT6j3aC1YH3oX1-4p5dT2BB4g_w7DwGZkm0NyNlBjeADPeC3GhlSlRdSmacPSN83JB1PhnBq_a41Y6M
30,Puskesmas Air Dingin,-0.8373934,100.3785439,4.3,"Balai Gadang, Koto Tangah, Padang, Balai Gadang, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",ATtYBwJZcHhzSGsTRIxiujK1VRLiCAK1-5cHfUw8Egq_WhBWLqJm9vdyiEuzd7nS8Noa2Ims4IWkewdERv5TEfndemqQMlKJxgzEc31G871bbfqvfGMaiTn0p97ocdsUBHjbhG0TJswrRQTiRHAeMOYPl-LIuEoUvmtCLxSHMIhfTlWleI6O
31,Puskesmas Pembantu Ganting,-0.8462504,100.3326356,0.0,"Jl. Adinegoro No.41, Batang Kabung Ganting, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",NULL
32,Puskesmas Pembantu Alang Laweh,-0.9538323999999999,100.3654514,0.0,"Jl. Thamrin No.34c, Alang Laweh, Kec. Padang Sel., Kota Padang, Sumatera Barat 25133, Indonesia",NULL
33,Puskesmas Pemancungan,-0.9700622,100.3737481,3.0,"Mata Air, Padang Selatan, Padang City, West Sumatra 25114, Indonesia",NULL
34,Puskesmas Nanggalo,-0.8936476,100.3670101,0.0,"Surau Gadang, Nanggalo, Padang City, West Sumatra 25173, Indonesia",NULL
35,Puskesmas Bidan Hj Elok,-0.8942496999999999,100.3650568,5.0,"Jl. Merak, Surau Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
36,Puskesmas Usang,-0.9546908,100.4023469,0.0,"Lubuk Begalung Nan XX, Lubuk Begalung, Padang City, West Sumatra 25147, Indonesia",NULL
37,Rumah Tunggu Kelahiran Puskesmas Seberang Padang,-0.9559262,100.3732696,0.0,"Seberang Padang, Padang Selatan, Padang City, West Sumatra, Indonesia",NULL
38,Puskesmas Pegambiran,-0.9800089999999999,100.3998921,3.6,"Jl. Pirus Raya No.20, Pagambiran Ampalu Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25151, Indonesia",ATtYBwJ5hiRgyqXc1PSr6oRTnvgG7sNXxZ5VRrtg-Qy6Ag0ZLwxCzCTRniYTh9FBM9jtIcDPpNFAXfQr3936AOZ5R532R2SXxHBeIyvEbwwsgNnVRWaB9cKBHu4Y6tp6em8Tvaf87ULB1lX2_sLr62uMpgMU-DONyy9OTuJBg_6LAYxSnQaY
39,Puskesmas Pembantu (Pustu) Koto Baru,-0.9625338,100.3827302,5.0,"Jl. Raya Koto Baru No.53, Koto Baru Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25137, Indonesia",NULL
40,Puskesmas Belimbing,-0.8992279999999999,100.4125674,0.0,"Kuranji, Padang City, West Sumatra 25173, Indonesia",NULL
41,Kantor Blud Puskesmas Kota Padang,-0.9337401000000001,100.354971,0.0,"Jl. Duku No.2, Ujung Gurun, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
42,Puskesmas Padang Barat,-0.9489007,100.3530908,0.0,"Padang Pasir IV No.1, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
43,Puskesmas Dadok Tunggul Hitam,-0.8722126,100.3616091,4.3,"Jl. Kesehatan No.10, Dadok Tunggul Hitam, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",ATtYBwL79gX1ICTAY3avsuAD5CmCZENTr6s_w-LOe-gFSifWVZmhJE1Z4VQ7xjt6Ie5yzz8xlUi6R9dLMEDgGOggh_x9H_dTClxyrdyhktBsTpMsq_PeRn5ensmCFilY0H4qUWYUdRURV_ePxBmDQdlSZ4mSqW30HqgAMT4cfIYl68dto4LB
